radiant_win,duration,pre_game_duration,start_time,match_id,match_seq_num,tower_status_radiant,tower_status_dire,barracks_status_radiant,barracks_status_dire,cluster,first_blood_time,lobby_type,human_players,leagueid,positive_votes,negative_votes,game_mode,flags,engine,radiant_score,dire_score,win_score
False,1117,60,1551481517,4479300000,3850380705,6,1974,3,63,186,19,0,10,0,0,0,23,0,1,14,28,14.0
True,1068,60,1551481518,4479300001,3850380406,2038,48,63,12,202,123,0,10,0,0,0,23,0,1,23,13,10.0
True,3729,90,1551481518,4479300002,3850420517,0,0,0,51,202,54,7,10,0,0,0,22,0,1,69,55,14.0
False,1095,60,1551481518,4479300003,3850380492,256,2047,48,63,202,113,0,10,0,0,0,23,0,1,5,36,31.0
False,2541,90,1551481518,4479300004,3850403408,0,1975,0,63,152,14,0,10,0,0,0,22,0,1,29,48,19.0
False,2706,90,1551481518,4479300005,3850407897,384,1796,48,63,191,111,0,10,0,0,0,18,0,1,46,49,3.0
True,1888,90,1551481518,4479300006,3850393858,2038,0,63,0,251,21,0,10,0,0,0,22,0,1,56,20,36.0
True,1639,90,1551481518,4479300007,3850391625,1974,262,63,51,138,46,7,10,0,0,0,22,0,1,35,17,18.0
False,3111,90,1551481518,4479300008,3850411049,0,1540,0,51,133,112,7,10,0,0,0,22,0,1,44,47,3.0
True,2706,90,1551481519,4479300026,3850405241,1974,0,63,0,184,0,0,10,0,0,0,22,0,1,61,34,27.0
False,3225,90,1551481518,4479300027,3850412717,0,1792,0,60,182,124,7,10,0,0,0,22,0,1,42,63,21.0
True,1406,90,1551481519,4479300028,3850387422,2047,0,63,48,201,94,7,10,0,0,0,22,0,1,26,8,18.0
True,1669,90,1551481518,4479300030,3850395268,2046,0,63,0,131,99,7,10,0,0,0,22,0,1,42,15,27.0
False,1986,90,1551481518,4479300031,3850396248,384,1982,48,63,251,6,7,10,0,0,0,22,0,1,26,47,21.0
True,2669,90,1551481518,4479300032,3850404520,1831,260,63,51,182,17,7,10,0,0,0,22,0,1,53,44,9.0
True,1960,60,1551481518,4479300033,3850393002,1990,4,63,19,183,26,0,10,0,0,0,23,0,1,36,28,8.0
False,3592,90,1551481518,4479300034,3850419134,0,1924,0,51,137,0,0,10,0,0,0,22,0,1,70,44,-26.0
True,2855,90,1551481518,4479300035,3850407730,1828,390,63,51,183,83,0,10,0,0,0,22,0,1,53,40,13.0
True,2361,90,1551481518,4479300038,3850401988,1974,0,63,0,185,112,7,10,0,0,0,22,0,1,46,29,17.0
True,1929,90,1551481519,4479300054,3850395322,2047,4,63,3,152,13,7,10,0,0,0,22,0,1,44,21,23.0
False,2835,90,1551481519,4479300055,3850409259,0,1828,48,63,121,10,7,10,0,0,0,22,0,1,22,37,15.0
True,1726,60,1551481505,4479300056,3850389957,1926,262,51,51,213,199,0,10,0,0,0,23,0,1,30,32,-2.0
True,791,60,1551481518,4479300057,3850376203,2047,4,63,3,251,8,0,10,0,0,0,23,0,1,36,2,34.0
True,1979,90,1551481518,4479300059,3850396062,1974,0,63,16,193,78,7,10,0,0,0,22,0,1,40,28,12.0
True,1582,90,1551481518,4479300060,3850391019,2047,0,63,0,122,111,7,10,0,1,0,22,0,1,57,22,35.0
False,2616,90,1551481518,4479300061,3850407356,6,1972,3,63,155,130,7,10,0,0,0,22,0,1,29,29,0.0
False,2617,90,1551481518,4479300062,3850404852,260,1024,51,4,136,146,7,10,0,0,0,22,0,1,27,45,18.0
True,2482,90,1551481520,4479300077,3850402739,1974,0,63,0,133,121,7,10,0,0,0,22,0,1,35,36,-1.0
True,2114,90,1551481519,4479300078,3850397620,1974,0,63,0,241,49,7,10,0,0,0,22,0,1,47,24,23.0
False,2327,90,1551481505,4479300079,3850400448,0,1796,0,51,136,4,7,10,0,0,0,22,0,1,34,49,15.0
True,2368,90,1551481518,4479300081,3850400806,1846,0,63,0,227,29,7,10,0,0,0,3,0,1,39,29,10.0
True,1218,60,1551481518,4479300082,3850382731,1584,262,15,51,155,83,0,10,0,0,0,23,0,1,20,24,-4.0
False,3140,90,1551481518,4479300084,3850411094,0,1828,0,63,134,124,0,10,0,0,0,22,0,1,30,51,21.0
True,1227,60,1551481518,4479300085,3850382462,1974,4,63,3,251,84,0,10,0,0,0,23,0,1,37,18,19.0
False,2748,90,1551481518,4479300086,3850409467,390,0,51,16,133,57,7,10,0,0,0,22,0,1,49,50,1.0
False,2454,60,1551481518,4479300087,3850400074,0,1798,0,63,138,34,0,10,0,0,0,23,0,1,49,42,-7.0
False,1867,90,1551481519,4479300099,3850393831,0,1983,0,63,132,167,7,10,0,0,0,22,0,1,8,44,36.0
